samb01,samb02,samb03,samb04,samb05,samb06,samb07,samb08,samb09,samb10,samb11,samb12,samb13,samb14,samb15,samb16,samb17,samb18,samb19,gender,age,id,semester,ethnic,SAmb_tot
1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,19.49,1001,9,2,11
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,18.16,1004,9,1,6
0,0,1,0,0,0,1,1,NA,1,0,1,0,0,0,1,0,0,1,0,18.38,1009,9,2,7
1,1,1,1,1,0,1,1,1,1,NA,0,0,0,1,0,1,0,1,0,18.64,1011,9,1,12
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,19.42,1012,9,1,3
0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,18.16,1014,9,1,8
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.89,1015,9,1,3
1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,18.08,1016,9,1,9
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21.06,1017,9,1,2
0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,18.47,1018,9,1,8
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,18.03,1019,9,1,12
0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,18.87,1020,9,1,9
0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,18,1022,9,1,5
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,18.78,1024,9,1,4
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.87,1026,9,1,1
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,18.86,1028,9,1,5
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.09,1030,9,2,2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19.15,1034,9,1,2
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,1040,9,NA,2
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,18.45,1042,9,1,4
0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,18.05,1043,9,4,7
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,18,1044,9,1,2
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,18.44,1045,9,1,5
0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,18,1046,9,1,11
0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,18.79,1047,9,1,7
0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,22.34,1048,9,1,5
0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,18.75,1049,9,1,8
0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,22.66,1058,9,1,8
1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,21.56,1059,9,1,13
0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,18.28,1060,9,1,13
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,19.62,1061,9,1,2
0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,18.06,1062,9,1,12
0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,19.51,1063,9,1,8
1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,18.77,1064,9,1,7
0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,20.09,1065,9,2,8
1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,19.1,1066,9,1,10
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,18.21,1067,9,1,3
1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,24.16,1068,9,5,13
1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,18.14,1069,9,1,6
0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,18.96,1070,9,6,11
0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,18.49,1072,9,2,10
1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,18.74,1073,9,1,11
1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,18.24,1074,9,2,10
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,18.43,1075,9,2,5
1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,18.96,1076,9,1,14
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,19.12,1077,9,1,3
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1078,9,2,1
0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,18.13,1079,9,2,7
0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,18.48,1080,9,6,12
0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,18.69,1083,9,2,10
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,1084,9,NA,3
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,18.18,1086,9,1,3
0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,18.58,1087,9,1,6
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,19.49,1088,9,2,4
0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,18.52,1089,9,NA,8
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,18,1090,9,1,4
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18.41,1091,9,1,2
0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,18.09,1094,9,1,12
1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,18.54,1095,9,1,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.46,1097,9,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18.62,1098,9,1,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.66,1099,9,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18.47,1118,9,1,2
